Word,Count
spite,23
particular,23
attended,23
large,23
fair,23
astonishment,23
small,23
inquiries,23
persuaded,23
degree,23
son,23
exceedingly,23
frequently,22
admiration,22
months,22
terms,22
times,22
From,22
pleasing,22
meeting,22
hearing,22
several,22
Why,22
hour,22
anybody,22
concern,22
praise,22
seems,22
probably,22
spent,22
expression,22
true,22
voice,22
library,22
company,22
wrote,21
sake,21
sent,21
xed,21
acquainted,21
directly,21
listened,21
thinking,21
dislike,21
trouble,21
repeated,21
importance,21
journey,21
inclination,21
information,21
conduct,21
live,21
knowledge,21
endeavour,21
event,21
notice,21
proud,21
desire,21
natural,21
promised,21
whenever,21
above,21
further,21
ready,21
attempt,21
prevented,21
favour,21
gratitude,21
except,21
dancing,21
delighted,21
favourite,20
self,20
common,20
proper,20
forced,20
work,20
un,20
sitting,20
intended,20
latter,20
Long,20
connection,20
used,20
pleasant,20
estate,20
fortnight,20
hoped,20
nephew,20
niece,20
equally,20
late,19
instead,19
ex,19
join,19
charming,19
especially,19
marrying,19
cousins,19
fancy,19
open,19
engagement,19
question,19
humour,19
light,19
need,19
full,19
effect,19
breakfast,19
remember,19
drew,19
cause,19
regiment,19
play,19
dis,19
strong,19
summer,19
state,19
Indeed,19
written,19
For,19
Gardiners,19
bring,18
mistaken,18
design,18
affected,18
capable,18
Perhaps,18
taking,18
reached,18
madam,18
receiving,18
evident,18
civil,18
chance,18
eldest,18
led,18
Maria,18
leaving,18
danger,18
fathers,18
regret,18
cold,18
comprehend,18
high,18
health,18
vain,18
weeks,18
greatest,18
women,18
paid,18
slight,18
address,18
particulars,18
smiled,18
persuade,18
pause,18
avoid,18
none,18
wait,17
proved,17
partner,17
kept,17
scheme,17
acknowledged,17
tried,17
intelligence,17
com,17
accept,17
resolution,17
forget,17
indifference,17
view,17
report,17
vanity,17
likewise,17
choose,17
beg,17
admire,17
motive,17
delightful,17
round,17
ease,17
ness,17
sight,17
purpose,17
superior,17
excellent,17
ter,17
loss,17
affair,17
politeness,16
ashamed,16
Saturday,16
connections,16
removed,16
angry,16
anxiety,16
confess,16
understanding,16
suddenly,16
concerned,16
prevent,16
moments,16
absolutely,16
accepted,16
chose,16
step,16
tolerable,16
success,16
laugh,16
tone,16
per,16
circumstance,16
related,16
comes,16
use,16
Such,16
promise,16
spoken,16
miles,16
opened,16
indifferent,16
pass,16
fond,16
Every,16
age,16
seem,16
worth,16
formed,16
Are,16
scene,16
All,16
en,16
expectation,16
dine,16
advice,15
earnest,15
lively,15
dearest,15
intention,15
felicity,15
reasonable,15
beth,15
duty,15
readily,15
objection,15
blame,15
stood,15
justice,15
mine,15
book,15
farther,15
Catherines,15
belief,15
letters,15
eye,15
enter,15
winter,15
window,15
chief,15
brothers,15
drawingroom,15
declared,15
Charlottes,15
trust,15
servant,15
assurance,15
sit,15
fortunate,15
composure,15
says,15
seated,15
resentment,15
future,15
park,15
Very,15
became,15
wrong,15
addressed,15
unless,15
distance,15
distress,15
evil,14
calling,14
reading,14
road,14
please,14
ac,14
One,14
asking,14
yours,14
prevailed,14
disappointment,14
Caroline,14
Though,14
disposed,14
nobody,14
behind,14
stand,14
begin,14
prospect,14
observation,14
parted,14
questions,14
misery,14
bad,14
aware,14
So,14
struck,14
perfect,14
period,14
wishing,14
alarm,14
shire,14
thanks,14
share,14
Kent,14
visitors,14
tomorrow,14
fact,14
companion,14
extremely,14
choice,14
child,14
ily,14
extraordinary,14
wedding,14
courage,14
housekeeper,14
arrived,14
generally,14
greatly,14
Nothing,14
conviction,14
lived,14
affectionate,14
frequent,13
standing,13
relief,13
creature,13
colour,13
pray,13
old,13
Then,13
otherwise,13
interesting,13
occurred,13
worse,13
clothes,13
form,13
ham,13
spend,13
inuence,13
ideas,13
Wick,13
plan,13
ignorant,13
twice,13
sooner,13
pardon,13
While,13
painful,13
youngest,13
astonished,13
compassion,13
beautiful,13
considering,13
turning,13
determine,13
By,13
nding,13
dared,13
eagerly,13
learnt,13
gratied,13
Lucases,13
ran,13
etc,13
suffer,13
marked,13
Pray,13
listen,13
taste,13
leisure,13
ap,13
tolerably,13
deceived,13
Did,13
excuse,13
anger,13
sion,12
welcome,12
understood,12
hint,12
grateful,12
Now,12
Of,12
Good,12
constant,12
garden,12
connected,12
Parsonage,12
picture,12
thank,12
possibility,12
consent,12
hard,12
joy,12
conceal,12
meaning,12
stranger,12
looks,12
judge,12
Denny,12
favourable,12
books,12
elder,12
fore,12
forgotten,12
writing,12
try,12
elegant,12
yesterday,12
false,12
Tuesday,12
speech,12
enjoyment,12
entrance,12
distressed,12
Upon,12
danced,12
partiality,12
parties,12
principal,12
add,12
actually,12
relationship,12
respectable,12
rich,12
applied,12
public,12
secure,12
silly,12
probable,12
shortly,12
recollected,12
agreed,12
invited,11
passing,11
satisfy,11
approaching,11
ladyships,11
earnestly,11
eager,11
partial,11
interference,11
gained,11
drove,11
uncles,11
tea,11
wants,11
lately,11
awkward,11
delicacy,11
amongst,11
admired,11
laughed,11
hurry,11
excessively,11
pay,11
dreadful,11
persons,11
quit,11
follow,11
unable,11
husbands,11
laughing,11
steady,11
education,11
decided,11
comfortable,11
views,11
intimate,11
judgement,11
run,11
engagements,11
bringing,11
Can,11
objections,11
hall,11
relation,11
boast,11
coach,11
nieces,11
relate,11
rank,11
Georgiana,11
informed,11
opposite,11
comparison,11
bow,11
accomplished,11
increased,11
happen,11
supposing,11
aloud,11
ner,11
introduce,11
opening,11
consideration,11
wild,11
ones,11
esteem,11
income,11
due,11
moreover,11
chaise,11
lose,11
single,11
smallest,11
folly,11
acquaintances,11
sub,11
fam,11
disagreeable,11
grieved,11
ground,11
confusion,11
amusement,11
returning,11
caught,11
Yet,11
private,11
Have,11
shook,11
Could,10
shame,10
Lord,10
imprudent,10
chiey,10
proceeded,10
disgrace,10
Eliz,10
inquiry,10
expressions,10
debts,10
These,10
remain,10
important,10
visitor,10
violent,10
rational,10
assistance,10
excited,10
condence,10
dances,10
Here,10
prepared,10
Reynolds,10
application,10
vexation,10
music,10
church,10
supper,10
feared,10
quick,10
Lambton,10
communication,10
triumph,10
consolation,10
servants,10
running,10
desirable,10
plain,10
staying,10
inclined,10
six,10
overcome,10
heartily,10
congratulations,10
observe,10
observing,10
guarded,10
request,10
learn,10
perceived,10
difcult,10
amazement,10
furniture,10
necessity,10
contrary,10
sincere,10
attached,10
strange,10
goodness,10
recollection,10
noble,10
hurried,10
recommend,10
tears,10
atter,10
yes,10
abeth,10
seriously,10
secrecy,10
pronounced,10
smiling,10
happiest,10
produced,10
virtue,10
contempt,10
unhappy,10
loved,10
sentence,10
Heaven,10
intimacy,10
compliments,10
naturally,10
insufcient,10
offered,9
refuse,9
reception,9
street,9
gives,9
formal,9
nished,9
disappointed,9
quest,9
youth,9
directed,9
deserve,9
seldom,9
sincerely,9
mistress,9
Sunday,9
direction,9
offended,9
waiting,9
inquire,9
sis,9
deny,9
hastily,9
Street,9
listening,9
upstairs,9
unlucky,9
story,9
besides,9
sentiments,9
whisper,9
minute,9
instrument,9
utter,9
fears,9
probability,9
consequently,9
interrupted,9
occasionally,9
likes,9
believing,9
propriety,9
low,9
im,9
concluded,9
